label,description,tweets
,Your friendly brother from Mars. Observing the world since 2001. 28th account,"YPG is like prostitute, they slept with US and Russia/Assad for their interest.  https://t.co/OjTHQR6a1i"
,we provide fresh news from every battlefield,RT @France24_en: #Ankara car explosion: Why did #Turkey accuse the #PKK? @SimNasr explains #AnkaraBlast https://t.co/MvDDHrRA29 https://t.c…
,we provide fresh news from every battlefield,RT @DrPartizan_: Heavy clashes right now around Tishrin Dam as ISIS launch an offensive against YPG/SDF. https://t.co/AncOIvJ0U5
,we provide fresh news from every battlefield,Iraqi courts sentence 40 people to death for their role in perpetrating the Speicher Massacre https://t.co/msmBZoSBRq
,"Real-Time News, Exclusives, Intelligence & Classified Information/Reports from the ME. Forecasted many Israeli strikes in Syria/Lebanon. Graphic content.",How pathetic &amp; racist! Magazine from #Poland splashed a graphic depiction of the rape of #Europe’s women by migrants https://t.co/btzG08XPAx
,"Real-Time News, Exclusives, Intelligence & Classified Information/Reports from the ME. Forecasted many Israeli strikes in Syria/Lebanon. Graphic content.",#Reuters reports the arrival of fighters from #Turkey to #Azaz few days ago but way less than 2000 fighters: https://t.co/QWaT2OaIYX #Syria
,Your friendly brother from Mars. Observing the world since 2001. 28th account,RT @ragipsoylu: A real comedy: US-led coalition says it is hard to say whether Russia and #YPG are collaborating https://t.co/ckKpwK3zRq
,"Real-Time News, Exclusives, Intelligence & Classified Information/Reports from the ME. Forecasted many Israeli strikes in Syria/Lebanon. Graphic content.",#BreakingNews Massive explosion rocked eastern parts of #Qamishli near #Turkey borders.. #Syria
,Medico at GMC Srinagar • Pro-Khilafah • Anti-Democratic • Anti-Nationalistic • Anti-Rafidah • Innocent Bystander of the Conflict in Middle East • Cricketist •,"RT @FehmiAlTurki: ""The mind of oppression is Zionism, its heart is Crusader Europe, and it's left arm is Russia and it's right arm is Ameri…"
,"Real-Time News, Exclusives, Intelligence & Classified Information/Reports from the ME. Forecasted many Israeli strikes in Syria/Lebanon. Graphic content.",#BreakingNews Three #Turkey artillery rounds just hit #YPG terror group positions in border town Ras al-Ayn.. #Hasakah #Syria #TwitterKurds
,we provide fresh news from every battlefield,"Breaking 

Two Israelis wounded, 1 seriously, in stabbing attack in Shaar Binyamin, 2 Palestinian attacker shot"
,we provide fresh news from every battlefield,2 Jews injured... One seriously after 2 Palestinan stabbed them... 2 attacker shot dead
,"21:15 For they fled from the Swords, from the drawn Sword and from the bent Bow and from the grievousness of War #VictoryOrShahadat #FreeKashmir #FreePalestina","#IslamicState soilders help many poor people with basic supplies, the western media will never report this #ISIS https://t.co/mulqkWVLnR"
,"21:15 For they fled from the Swords, from the drawn Sword and from the bent Bow and from the grievousness of War #VictoryOrShahadat #FreeKashmir #FreePalestina",RT @jhfvdh105: That's gold! 👌 https://t.co/BQ4mwfHcCV
,"21:15 For they fled from the Swords, from the drawn Sword and from the bent Bow and from the grievousness of War #VictoryOrShahadat #FreeKashmir #FreePalestina","RT @Conflicts: At least 38 killed in U.S.-led strikes in Syria's Hasaka over 48 hours to support SDF/YPG: monitor - Reuters

https://t.co/n…"
,"21:15 For they fled from the Swords, from the drawn Sword and from the bent Bow and from the grievousness of War #VictoryOrShahadat #FreeKashmir #FreePalestina",ALLAHU AKBAR #ISIS  https://t.co/bZgo7hW92f
,"21:15 For they fled from the Swords, from the drawn Sword and from the bent Bow and from the grievousness of War #VictoryOrShahadat #FreeKashmir #FreePalestina","RT @jhfvdh105: Aamaq:
Wesam Sweidan, captured on 25th Jan 2016, convicted of spying for the Iraqi regime executed in #Fallujah. #IS
https:/…"
,we provide fresh news from every battlefield,"RT @M3t4_tr0n: 📷 #Russian Helicopters Mi-35M, Mi-24P &amp; Mi-17 were spotted in Al-Shayrat airbase near the city of #Homs, #Syria. https://t.c…"
,Baqiyah Acct #61. Freedom of speech only exists for those who kneel to taghut. Baqiyah wattamaddad Bi'ithnillah.,Baqiyah Acct #61. Freedom of speech only exists for those who kneel to taghut. Baqiyah wattamaddad Bi'ithnillah https://t.co/ax9m1wEZY3
,Medico at GMC Srinagar • Pro-Khilafah • Anti-Democratic • Anti-Nationalistic • Anti-Rafidah • Innocent Bystander of the Conflict in Middle East • Cricketist •,"coming to twitter after few days, feeling like a stranger"
,"Servant of Allah, in need of Allah's mercy !!!",RT @HeartHasStereo: Situation in north Syria now https://t.co/6Dz9st9qEt
,"21:15 For they fled from the Swords, from the drawn Sword and from the bent Bow and from the grievousness of War #VictoryOrShahadat #FreeKashmir #FreePalestina",RT @KhateebAlUmawi: US aircraft supporting PKK in Hasaka leveled entire villages in vicinity of Shaddadi and public buildings - mass civili…
,we provide fresh news from every battlefield,One of the 2 Stabbed jews killed today cause of his wounds. Stabbed in Shar Binyamin in a supermarket. He was 21yr. Old.
,we provide fresh news from every battlefield,One of ballistic missile. Bombed by #Russian barges on the city of #Azaz In the countryside of #Aleppo... https://t.co/Pd6mWhEkv5
,Medico at GMC Srinagar • Pro-Khilafah • Anti-Democratic • Anti-Nationalistic • Anti-Rafidah • Innocent Bystander of the Conflict in Middle East • Cricketist •,RT @intlspectator: Syria: 2011 and 2015. https://t.co/ZjHOAF1EtZ
,Medico at GMC Srinagar • Pro-Khilafah • Anti-Democratic • Anti-Nationalistic • Anti-Rafidah • Innocent Bystander of the Conflict in Middle East • Cricketist •,Here's what JNUSU president Kanhaiya Kumar said in his speech https://t.co/WIJAXsZExQ via @indiatoday
,we provide fresh news from every battlefield,@VivaRevolt why don`t you report usa air strikes killing civilians in #hassaka ? due to your secret love with #PKK ?
,"Real-Time News, Exclusives, Intelligence & Classified Information/Reports from the ME. Forecasted many Israeli strikes in Syria/Lebanon. Graphic content.",#Turkey's army artillery opens intense fire on #YPG targets all over northern #Aleppo countryside.. #Syria
,we provide fresh news from every battlefield,"#ypg media men

@VivaRevolt 
@arabthomness 
@jenanmoussa"
,we provide fresh news from every battlefield,#ypg is being pounded in #aleppo by #turkey as we speak
,we provide fresh news from every battlefield,@VivaRevolt @arabthomness @jenanmoussa yes your timeline is telling how neutral you are
,Medico at GMC Srinagar • Pro-Khilafah • Anti-Democratic • Anti-Nationalistic • Anti-Rafidah • Innocent Bystander of the Conflict in Middle East • Cricketist •,"RT @Saj_PakPassion: Viv Richards ""during the time of our dominance, only team that would give us problems was Pakistan, led by the great Im…"
,"Real-Time News, Exclusives, Intelligence & Classified Information/Reports from the ME. Forecasted many Israeli strikes in Syria/Lebanon. Graphic content.","#Turkey army now shelling:
Tall Rifaat
Deir Jameel
Menagh
Ayn Daqnah
Maranaz
Alqamiyah
Kafr Anton
Nsiriyah
Malikiyah
Kafr Nasih
Afrin
#Syria"
,we provide fresh news from every battlefield,#ypg after #turkish bombardment ..... https://t.co/M1wuUrp8r9
,we provide fresh news from every battlefield,YPG troops captured by Rebels in northern #Aleppo countryside... Hahahahahhahaha https://t.co/7RvRwCzQte
,"Real-Time News, Exclusives, Intelligence & Classified Information/Reports from the ME. Forecasted many Israeli strikes in Syria/Lebanon. Graphic content.",Graphic! The kind of massive rockets #Russia war criminals are throwing day &amp; night on #Syria|n children these days https://t.co/qLAxPIZdUk
,"Real-Time News, Exclusives, Intelligence & Classified Information/Reports from the ME. Forecasted many Israeli strikes in Syria/Lebanon. Graphic content.",#BreakingNews #Russia|n drone downed near #Syria|n #Turkey borders..
,we provide fresh news from every battlefield,#YPG claims the death of 7 of their Fighters killed today by #ISIS in #Hassakah. https://t.co/2vScvFLJvz
,"Real-Time News, Exclusives, Intelligence & Classified Information/Reports from the ME. Forecasted many Israeli strikes in Syria/Lebanon. Graphic content.",#CNN: #Washington has informed #Russia not to attack a special #USA army force currently operating in northeast #Syria..
,we provide fresh news from every battlefield,Eyewitness: https://t.co/6fraEhV5Zo
,"21:15 For they fled from the Swords, from the drawn Sword and from the bent Bow and from the grievousness of War #VictoryOrShahadat #FreeKashmir #FreePalestina",Welcoming the Sahawat if they repent shows that as Sheikh Abu Bakr Baghdadi Is a kind &amp; forgiving leader and all praise is for Allah #ISIS
,we provide fresh news from every battlefield,@VivaRevolt @JosephWall2 @apollo_next i think pkk isn`t worst than made in Pentagon Sahwaat al iraq. what isis faced in iraq
,we provide fresh news from every battlefield,@VivaRevolt @JosephWall2 @apollo_next i am pointing out becz you guys are exciting #SDF finishing #ISIS.
,we provide fresh news from every battlefield,Reports that more than 80 Civilians killed yesterday by an #US Airstrike near #Hassakah #Syria.
,we provide fresh news from every battlefield,@JosephWall2 @VivaRevolt @apollo_next  there was inghamasi attack
,"Real-Time News, Exclusives, Intelligence & Classified Information/Reports from the ME. Forecasted many Israeli strikes in Syria/Lebanon. Graphic content.",#Video #Turkey artillery in #Kilis intense shelling to #YPG positions in #Syria https://t.co/wmvKLhgFqS
,we provide fresh news from every battlefield,https://t.co/FQmFobIl0w
,we provide fresh news from every battlefield,"#Breaking
#ISIS claims: Repelled Rebels Attack and Killed 10 in #Qalamoon."
,we provide fresh news from every battlefield,"breaking 

100 #ypg #SDF militant killed in aleppo #turkish shelling"
,we provide fresh news from every battlefield,@NusantarWitness #FSA sources
,we provide fresh news from every battlefield,@xxvvvxxxxxxxx https://t.co/qPCAF5mtZD
,we provide fresh news from every battlefield,Unconfirmed Reports that +100 #SDF militants killed due #Turkish army Artillery shelling in northern #Aleppo so far.
,we provide fresh news from every battlefield,#SDF released pics shows the weapons of fleed #ISIS militants in todays #SDF #Hasakah Offensive.
,we provide fresh news from every battlefield,"RT @Nidalgazaui: UNBELIEVABLE PHOTO:

Dirty Cannibal US-Backed Shiite Militants eats the head of an inconnect Sunni Civilian in #Iraq https…"
,we provide fresh news from every battlefield,RT @Nidalgazaui: Footage: #PKK blowed up a Bus full of #Turkish soldiers today in #Turkey. https://t.co/YrEbxyNEsK
,"Real-Time News, Exclusives, Intelligence & Classified Information/Reports from the ME. Forecasted many Israeli strikes in Syria/Lebanon. Graphic content.",Huge angry crowds in-front of #Cairo Security Directorate after a police officer killed a Taxi driver.. #Egypt https://t.co/mCYkOzUsxD
,we provide fresh news from every battlefield,How true is this? @AdamHasakah69 https://t.co/kmrinZsWeC
,we provide fresh news from every battlefield,RT @iyad_elbaghdadi: Reports that civilians in Cairo have lynched two police officers after one of the officers killed a cab driver. https:…
,we provide fresh news from every battlefield,RT @RamiAlLolah: Huge angry crowds in-front of #Cairo Security Directorate after a police officer killed a Taxi driver.. #Egypt https://t.c…
,"Real-Time News, Exclusives, Intelligence & Classified Information/Reports from the ME. Forecasted many Israeli strikes in Syria/Lebanon. Graphic content.",Huge angry crowds gathering &amp; shouting: 'You son of dirty women' in-front of #Cairo Security Directorate now #Egypt https://t.co/QmHxNFxh6K
,"Real-Time News, Exclusives, Intelligence & Classified Information/Reports from the ME. Forecasted many Israeli strikes in Syria/Lebanon. Graphic content.",Escalating! #BreakingNews Special Security Forces surround #Cairo Security Directorate after huge crowds threatened to storm it.. #Egypt
,"Real-Time News, Exclusives, Intelligence & Classified Information/Reports from the ME. Forecasted many Israeli strikes in Syria/Lebanon. Graphic content.",#BreakingNews Angry protesters cut roads to #Cairo Security Directorate. Tens reportedly joining the protests #Egypt https://t.co/fJuV50TU7J
,"Real-Time News, Exclusives, Intelligence & Classified Information/Reports from the ME. Forecasted many Israeli strikes in Syria/Lebanon. Graphic content.",#BreakingNews #YPG terror group is shelling refugees camps in #Atme border town with #Turkey. Casualties unknown yet.. #Syria
,"Real-Time News, Exclusives, Intelligence & Classified Information/Reports from the ME. Forecasted many Israeli strikes in Syria/Lebanon. Graphic content.",Extraordinary #photos. #Turkey artillery firing on #YPG terror group from #Kilis near #Azaz #Syria via @zwystone https://t.co/y7wLqQOPK9
,"Here to defend the  American freedom and also the freedom of coconut . Cat Lover or Hater. Kebab Fan . We're all living in America, America ist wunderbar #USA","""....Le rêve américain ne l’a toujours pas quitté"" #Fin"
,"Here to defend the  American freedom and also the freedom of coconut . Cat Lover or Hater. Kebab Fan . We're all living in America, America ist wunderbar #USA",RT @O_Elhady: الأهالي يقطعون الطريق أمام مستشفى أحمد ماهر https://t.co/UJOzabonxp
,"Here to defend the  American freedom and also the freedom of coconut . Cat Lover or Hater. Kebab Fan . We're all living in America, America ist wunderbar #USA",@Js8twitto23 on peut utiliser le terme scientifique pour les sciences humaines et sociales et pour la religion pour dire savant/chercheur
,we provide fresh news from every battlefield,Reports on #SDF Saddadi operations against #ISIS claim they have taken 48 villages and hamlets today - @West_YPG https://t.co/XB2OtQDZAQ
,"Here to defend the  American freedom and also the freedom of coconut . Cat Lover or Hater. Kebab Fan . We're all living in America, America ist wunderbar #USA",@Js8twitto23 puisque tous ces domaines sont des sciences
,"Here to defend the  American freedom and also the freedom of coconut . Cat Lover or Hater. Kebab Fan . We're all living in America, America ist wunderbar #USA",@Js8twitto23 mais nous sommes d'accord sur ce point
,"Here to defend the  American freedom and also the freedom of coconut . Cat Lover or Hater. Kebab Fan . We're all living in America, America ist wunderbar #USA","RT @Conflicts: Reports on #SDF Saddadi operations against #ISIS claim they have taken 48 villages and hamlets in 2 days - @West_YPG
https:/…"
,"Real-Time News, Exclusives, Intelligence & Classified Information/Reports from the ME. Forecasted many Israeli strikes in Syria/Lebanon. Graphic content.",#Turkey's artillery shelling on #YPG tonight is the most intense &amp; concentrated unlike the previous days.. #Syria https://t.co/ZFHm2hKXtv
,"Real-Time News, Exclusives, Intelligence & Classified Information/Reports from the ME. Forecasted many Israeli strikes in Syria/Lebanon. Graphic content.",#BreakingNews #YPG has fired 8 rockets on #Turkey's army border posts near #Afrin a while ago.. #Syria
,"Real-Time News, Exclusives, Intelligence & Classified Information/Reports from the ME. Forecasted many Israeli strikes in Syria/Lebanon. Graphic content.",#BreakingNews Security forces fire rubber bullets and gas bombs on huge angry crowds surrounding #Cairo Security Directorate.. #Egypt
,"Real-Time News, Exclusives, Intelligence & Classified Information/Reports from the ME. Forecasted many Israeli strikes in Syria/Lebanon. Graphic content.",HUGE! #BreakingNews 100s of angry protesters flocking into #Cairo Security Directory. Reports of injuries.. #Egypt https://t.co/geRkHd4Qq0
,"Real-Time News, Exclusives, Intelligence & Classified Information/Reports from the ME. Forecasted many Israeli strikes in Syria/Lebanon. Graphic content.",Eyewitnesses: A large #YPG convoy recieved direct #Turkey's artillery hits near Jendeires in #Afrin. Causalities unclear yet.. #Syria
,"Real-Time News, Exclusives, Intelligence & Classified Information/Reports from the ME. Forecasted many Israeli strikes in Syria/Lebanon. Graphic content.",The Takfiri @Pontifex.. https://t.co/3iiuJJp03j
,"Here to defend the  American freedom and also the freedom of coconut . Cat Lover or Hater. Kebab Fan . We're all living in America, America ist wunderbar #USA",@MiddleEastEyeFr @OncleZouhair groupes militants ? on pourrait croire qu'on parle de fanboy de GreenPeace
,"Here to defend the  American freedom and also the freedom of coconut . Cat Lover or Hater. Kebab Fan . We're all living in America, America ist wunderbar #USA",@bomber___cat ahhahahaha
,"Here to defend the  American freedom and also the freedom of coconut . Cat Lover or Hater. Kebab Fan . We're all living in America, America ist wunderbar #USA","@WeaboIsNEET Thanks you brother, May Allah reward you with Firdaws"
,"Here to defend the  American freedom and also the freedom of coconut . Cat Lover or Hater. Kebab Fan . We're all living in America, America ist wunderbar #USA",@FrenchyMusliim https://t.co/Xc8NtWobYQ
,"Here to defend the  American freedom and also the freedom of coconut . Cat Lover or Hater. Kebab Fan . We're all living in America, America ist wunderbar #USA",@Uncle_SamCoco Up !!!!
,"Here to defend the  American freedom and also the freedom of coconut . Cat Lover or Hater. Kebab Fan . We're all living in America, America ist wunderbar #USA",@AleveryJunior @LevantineWD vu les jours qui se profilent vous allez le compléter très rapidement
,"Here to defend the  American freedom and also the freedom of coconut . Cat Lover or Hater. Kebab Fan . We're all living in America, America ist wunderbar #USA","Democracy, Liberty and Freedom is loading in Syria

https://t.co/VCt3MWPgO4"
,"Here to defend the  American freedom and also the freedom of coconut . Cat Lover or Hater. Kebab Fan . We're all living in America, America ist wunderbar #USA","""Egypt to shut prominent centre that documents torture""

https://t.co/nRgikIzNN0"
,"Here to defend the  American freedom and also the freedom of coconut . Cat Lover or Hater. Kebab Fan . We're all living in America, America ist wunderbar #USA","Democracy, Liberty, Freedom and Human Rights in Iraq .

https://t.co/eZAh7iJIoV"
,"Here to defend the  American freedom and also the freedom of coconut . Cat Lover or Hater. Kebab Fan . We're all living in America, America ist wunderbar #USA","@dfwallace622_6 If they continue to spread democracy by this way, I guess they will be no more people to live under democracy in MENA"
,"Here to defend the  American freedom and also the freedom of coconut . Cat Lover or Hater. Kebab Fan . We're all living in America, America ist wunderbar #USA","According to Russian logic, all of them are ""ISIS"". So there is no problem to bomb them.

https://t.co/yisUhiuf8y"
,"Here to defend the  American freedom and also the freedom of coconut . Cat Lover or Hater. Kebab Fan . We're all living in America, America ist wunderbar #USA","@AnisseAlmansour @OncleZouhair c'est quoi ""uoslp"" ?"
,"Here to defend the  American freedom and also the freedom of coconut . Cat Lover or Hater. Kebab Fan . We're all living in America, America ist wunderbar #USA",@OncleZouhair @AnisseAlmansour Kool je vois que la propagande pro-Assad bas son plein
,"Here to defend the  American freedom and also the freedom of coconut . Cat Lover or Hater. Kebab Fan . We're all living in America, America ist wunderbar #USA",@LevantineWD @CedricMas @Fiefienix @samahsoula pouahahhahahah
,"Here to defend the  American freedom and also the freedom of coconut . Cat Lover or Hater. Kebab Fan . We're all living in America, America ist wunderbar #USA",@SputnikInt what about sunni syrian people burned alive by Russian Air Force ?
,"Here to defend the  American freedom and also the freedom of coconut . Cat Lover or Hater. Kebab Fan . We're all living in America, America ist wunderbar #USA",RT @intifada: Bombs and blockade make Gaza’s floods worse https://t.co/LZFQiwX6nA https://t.co/5zylzMGOA4
,Your friendly brother from Mars. Observing the world since 2001. 28th account,"@SalaktuTariqi_ @nvQd6ycFUcbACiq he is known as Nibras (نبراس). He is the same one who sung this nasheed:
https://t.co/cByeO1At4D"
,Your friendly brother from Mars. Observing the world since 2001. 28th account,"Hooray for ""Tawagheet Coalition""

Malaysia send their special forces for ""Northern Storm"" excercise

 https://t.co/1P1WINvRYd"
,Your friendly brother from Mars. Observing the world since 2001. 28th account,"@BTelawy @oryxspioenkop 

note:

Green: 21 SSG
Maroon: 10th Para

source: wikipedia"
,we provide fresh news from every battlefield,RT @Maveraunnehir29: Konvoyu üç gündür Türkiye'den giren Türk topçusu destekli 2000+ muhaliflerden bir grup  imha etmiş bilgisi var.Yazın b…
,"Here to defend the  American freedom and also the freedom of coconut . Cat Lover or Hater. Kebab Fan . We're all living in America, America ist wunderbar #USA",@AyyubibnSky @Bi_polaiire c'est le film avec les deux soeur + la Banshee ? Un film espagnol je crois non ?
,"Here to defend the  American freedom and also the freedom of coconut . Cat Lover or Hater. Kebab Fan . We're all living in America, America ist wunderbar #USA",@maisondarqam @Milouse14 il a vraiment dit ca ?
,"Here to defend the  American freedom and also the freedom of coconut . Cat Lover or Hater. Kebab Fan . We're all living in America, America ist wunderbar #USA","RT @Cairo67Unedited: DEVELOPING
Multiple reports of an explosion Towards 6 October, Giza , Faisal area
Details unkown."
,Medico at GMC Srinagar • Pro-Khilafah • Anti-Democratic • Anti-Nationalistic • Anti-Rafidah • Innocent Bystander of the Conflict in Middle East • Cricketist •,RT @MiddleEastEye: Muslim man referred for psychiatric assessment because he said news frm Syria made him angry https://t.co/wyIctNNJuy htt…
,Medico at GMC Srinagar • Pro-Khilafah • Anti-Democratic • Anti-Nationalistic • Anti-Rafidah • Innocent Bystander of the Conflict in Middle East • Cricketist •,"RT @The_Global_Kmr: #Breaking 

FIR Against Moulana Masood Azhar recommend in Pakistan over Pathankot attack"
,we provide fresh news from every battlefield,"RT @ShamiRebel: No these are not the Aztec Cannibals, these are sectarian Shia militants eating a Sunni after torturing &amp; beheading: https:…"
,we provide fresh news from every battlefield,#Kurdish peshmerga https://t.co/BLhaM1WSvo
,we provide fresh news from every battlefield,"RT @DailySabah: Footage shows PYD/YPG declaring war on Turkey in Syria's Amude, hometown of Ankara bomber
https://t.co/mcmDuyHcqm https://t…"
,Your friendly brother from Mars. Observing the world since 2001. 28th account,"RT @jjjjj105dd: That's Abu Suhaib al-Iraqi, #IS Public Relations manager in #Aleppo.
He invites repentant #FSA to #IS territories.
https://…"
,Your friendly brother from Mars. Observing the world since 2001. 28th account,"RT @jjjjj105dd: #pt ""come to us &amp; we'll give you the aman (security &amp; forgiveness).
Your injured will be treated, and your families are wel…"
,Your friendly brother from Mars. Observing the world since 2001. 28th account,"RT @jjjjj105dd: #pt 2 days ago, Aamaq said that some rebels have already arrived in #IS areas in E. #Aleppo.
https://t.co/G0jeIxhIKN https:…"
,Your friendly brother from Mars. Observing the world since 2001. 28th account,"RT @jjjjj105dd: Abu Suhaib to FSA members who want to defect:
""Choose a way &amp;we'll open it for u. Especially the families,we'll do everythi…"
,we provide fresh news from every battlefield,here we present official spokesperson of #PKK #ypg (@vvanwilgenburg )
,we provide fresh news from every battlefield,"#Breaking 

#turkish media claiming #turkey first time used missiles against #ypg/#pkk in syria"
,"Here to defend the  American freedom and also the freedom of coconut . Cat Lover or Hater. Kebab Fan . We're all living in America, America ist wunderbar #USA","Israel love the ""Axis of Resistance""

https://t.co/mF9iIcHsoG"
,"Here to defend the  American freedom and also the freedom of coconut . Cat Lover or Hater. Kebab Fan . We're all living in America, America ist wunderbar #USA",@khalidi_4_sham @vvanwilgenburg good news for the rebel if IS is kick out of North Syria they will fight Assad and Kurds withotu IS.
,"Here to defend the  American freedom and also the freedom of coconut . Cat Lover or Hater. Kebab Fan . We're all living in America, America ist wunderbar #USA","RT @Charles_Lister: ""US policy of making PYD/PKK as its sole proxy in #Syria was deeply mistaken”

@KyleWOrton: https://t.co/0kzCGGmsGp htt…"
,Medico at GMC Srinagar • Pro-Khilafah • Anti-Democratic • Anti-Nationalistic • Anti-Rafidah • Innocent Bystander of the Conflict in Middle East • Cricketist •,RT @almunajjid_En: The truth does not need falsehood in order to establish it. (Talbees Iblees by Ibn Al-Jawzi)
,"Here to defend the  American freedom and also the freedom of coconut . Cat Lover or Hater. Kebab Fan . We're all living in America, America ist wunderbar #USA","#LT ""The whole world are terrorists against the Syrians"" 

https://t.co/mDcyklwars"
,we provide fresh news from every battlefield,@DrPartizan_ propaganda
,"Here to defend the  American freedom and also the freedom of coconut . Cat Lover or Hater. Kebab Fan . We're all living in America, America ist wunderbar #USA",@LevantineWD @Quart_Monde il a me des chrétiens qui ont combattus au coté de l'ASL ( et qu'il le font toujours )
,"Here to defend the  American freedom and also the freedom of coconut . Cat Lover or Hater. Kebab Fan . We're all living in America, America ist wunderbar #USA",@LevantineWD @Quart_Monde pendant ce temps des sunnites combattent avec Bachar dans d'autre régions ....
,"Here to defend the  American freedom and also the freedom of coconut . Cat Lover or Hater. Kebab Fan . We're all living in America, America ist wunderbar #USA",@LevantineWD @Quart_Monde oui mais être dans l’opposition c'est combattre Assad ou d'un point de vue politique et militant
,"Here to defend the  American freedom and also the freedom of coconut . Cat Lover or Hater. Kebab Fan . We're all living in America, America ist wunderbar #USA","RT @OlivierGuitta: Confirmed #US behind today's airstrike in #Sabratha #Libya agt #IslamicState,tried to kill #Tunisian op involved in #Bar…"
,"Here to defend the  American freedom and also the freedom of coconut . Cat Lover or Hater. Kebab Fan . We're all living in America, America ist wunderbar #USA","RT @OlivierGuitta: While @thedailybeast reported yday that #Obama refused plans to strike #IslamicState in #Libya,the #US has just done tha…"
,"Here to defend the  American freedom and also the freedom of coconut . Cat Lover or Hater. Kebab Fan . We're all living in America, America ist wunderbar #USA",RT @AFP: #BREAKING About 40 dead in air raid targeting jihadists near Libya capital: officials
,"Here to defend the  American freedom and also the freedom of coconut . Cat Lover or Hater. Kebab Fan . We're all living in America, America ist wunderbar #USA","RT @bm21_grad: Rebel in Latakia posted on FB:  ""Where are you men? Women and girls are fighting and where are you?"""
,"Here to defend the  American freedom and also the freedom of coconut . Cat Lover or Hater. Kebab Fan . We're all living in America, America ist wunderbar #USA",RT @DanielCollins85: Speculative/emotive BBC report on alleged Russian strike on @MSF. Do they report US/UK bombs on innocents similarly? h…
,we provide fresh news from every battlefield,"#FACT
#ISIS has killed more pkk/ypg in two year than #turkey its 40 years war against them"
,"Here to defend the  American freedom and also the freedom of coconut . Cat Lover or Hater. Kebab Fan . We're all living in America, America ist wunderbar #USA",@ScotMikey1111 @MediaPmoffice ahahhahahahah
,"Here to defend the  American freedom and also the freedom of coconut . Cat Lover or Hater. Kebab Fan . We're all living in America, America ist wunderbar #USA",@ScotMikey1111 @MediaPmoffice he spend most of his time in  five star hotel ahahahhaha
,"Here to defend the  American freedom and also the freedom of coconut . Cat Lover or Hater. Kebab Fan . We're all living in America, America ist wunderbar #USA",@whoamidude hearsy can be insult or insulting towards someone or something
,"Here to defend the  American freedom and also the freedom of coconut . Cat Lover or Hater. Kebab Fan . We're all living in America, America ist wunderbar #USA",@whoamidude but I agree we should not repeat unproven allegations
,we provide fresh news from every battlefield,#opinion #ISIS prepared for Underground and mafia style warfare against #ypg/#PKK for ex: silencer weapons and IEDs kidnaping for ransom (1)
,we provide fresh news from every battlefield,@warrnews same tactics they have used to destoroy C.I.A created Sahwaat al iraq
,"Here to defend the  American freedom and also the freedom of coconut . Cat Lover or Hater. Kebab Fan . We're all living in America, America ist wunderbar #USA","RT @KreaseChan: He is. More hospitals, medics &amp; patients targeted - all enabled by...Russia.  https://t.co/8G4T4PUpbe"
,we provide fresh news from every battlefield,@warrnews specially losing territories doesn`t matter for #ISIS (3)
,Your friendly brother from Mars. Observing the world since 2001. 28th account,Kuffar/Tawagheet attacking Muslims in their bombardment in #arRutbah https://t.co/G7uNLsS1Ne
,Your friendly brother from Mars. Observing the world since 2001. 28th account,"seems Kuffar using ""double tap"" in their airstrikes targeting innocent Muslims"
,Your friendly brother from Mars. Observing the world since 2001. 28th account,@Mustaf_daw https://t.co/lPSt0CjBvf
,Medico at GMC Srinagar • Pro-Khilafah • Anti-Democratic • Anti-Nationalistic • Anti-Rafidah • Innocent Bystander of the Conflict in Middle East • Cricketist •,"RT @ScotMikey1111: As regime advances under #RuAF, #ISIS is proposing truce with sahawat/FSA, as the latter responds w. more attacks agains…"
,Your friendly brother from Mars. Observing the world since 2001. 28th account,"#Repost 

Selection of Words From the Speech:

""March Forth Whether Light or Heavy"" by Khalifah Ibrahim
(1) https://t.co/leIjD0kFMr"
,Your friendly brother from Mars. Observing the world since 2001. 28th account,(2) https://t.co/xy36tiJ7Gr
,Your friendly brother from Mars. Observing the world since 2001. 28th account,(3) https://t.co/V2xObImJE5
,Medico at GMC Srinagar • Pro-Khilafah • Anti-Democratic • Anti-Nationalistic • Anti-Rafidah • Innocent Bystander of the Conflict in Middle East • Cricketist •,"A new breed of militants is rising in Kashmir
– young, educated, tech-savvy.   https://t.co/upXi5CVnyq"
,"21:15 For they fled from the Swords, from the drawn Sword and from the bent Bow and from the grievousness of War #VictoryOrShahadat #FreeKashmir #FreePalestina",RT @p_vanostaeyen: The Battle for Aleppo Shows That US Strategy in Syria is in Tatters https://t.co/3pVUQE33rp (by @AbuJamajem)
,"21:15 For they fled from the Swords, from the drawn Sword and from the bent Bow and from the grievousness of War #VictoryOrShahadat #FreeKashmir #FreePalestina",Sahawat Scum never learn may Dawlah kill them all #ISIS  https://t.co/VkQVjxbPxt
,"21:15 For they fled from the Swords, from the drawn Sword and from the bent Bow and from the grievousness of War #VictoryOrShahadat #FreeKashmir #FreePalestina",ALLAHU AKBAR Rafidah Scum sent directly to Hell #ISIS https://t.co/oMxJftkGz9
,Your friendly brother from Mars. Observing the world since 2001. 28th account,"Donald ""Douchebag"" Trump bragged like he's the best president ever - although not sitting in the Oval Office yet.  https://t.co/Y4uTZZIihu"
,Your friendly brother from Mars. Observing the world since 2001. 28th account,"Kashimiri youth emulating the strategies of Dawlah...

 https://t.co/ArJJXIZyNx"
